Recency,Frequency,Monetary,Cluster
325,2,0.0,0
1,11,4196.01,0
0,224,29072.1,3
3,8,3868.2,0
2,4,942.34,0
213,1,92.72,0
70,3,918.98,0
74,5,1759.5,0
59,1,397.12,0
2,8,1468.1200000000001,0
5,3,430.15000000000003,0
2,6,1018.71,0
321,3,253.05,0
37,7,6748.4,0
261,1,215.05,0
31,2,383.03,0
144,1,417.38,0
282,1,312.38,0
58,4,2612.86,0
172,1,134.1,0
33,2,683.13,0
2,16,5583.62,0
143,6,2714.27,0
4,26,3876.4,0
69,2,1118.99,0
65,9,1680.76,0
28,2,325.96000000000004,0
266,4,354.09,0
21,1,871.54,0
30,2,1050.8899999999999,0
96,1,135.18,0
289,2,299.75,0
107,9,1881.7,0
78,5,1289.15,0
372,1,38.1,0
7,8,2162.68,0
210,2,1106.4,0
51,2,504.2,0
137,1,147.12,0
25,10,3986.22,0
185,6,1607.0600000000002,0
365,1,-14.899999999999999,0
83,2,380.64,0
326,2,599.97,0
281,1,374.0,0
142,2,343.2300000000001,0
3,12,1535.77,0
17,3,841.64,0
44,4,552.5699999999999,0
275,1,298.0,0
8,2,1463.04,0
24,4,703.47,0
87,1,309.05,0
62,4,1158.27,0
67,3,1351.09,0
213,4,313.77,0
23,1,380.46999999999997,0
185,3,331.0,0
30,1,188.14,0
41,3,347.3,0
204,2,216.5,0
8,36,16293.1,3
264,1,138.68,0
17,2,509.58,0
11,5,2919.81,0
58,4,246.0,0
39,8,2128.83,0
22,8,3075.04,0
2,5,1662.3,0
4,5,2483.63,0
148,2,363.65,0
138,5,2982.35,0
127,1,594.0,0
7,8,1301.44,0
16,1,164.23,0
3,50,16389.74,3
160,1,405.38,0
63,1,176.97,0
87,5,929.95,0
4,2,694.05,0
34,5,2062.7000000000003,0
121,2,105.1,0
77,4,409.9,0
21,20,33462.81,3
23,4,606.28,0
1,8,2156.45,0
16,5,1012.9,0
14,4,1504.27,0
25,1,114.14,0
63,8,11581.8,3
45,4,876.29,0
130,3,683.9,0
300,1,-3.75,0
35,2,604.51,0
287,1,462.95,0
143,11,1407.29,0
15,8,2053.7,0
30,10,4143.02,0
1,3,1843.0,0
8,8,1042.07,0
5,5,1382.8400000000001,0
9,1,329.85,0
0,14,4734.26,0
305,1,108.07,0
3,12,3979.04,0
6,2,266.39,0
7,9,1841.03,0
88,1,771.91,0
9,1,160.18,0
2,4,1194.75,0
111,1,135.95,0
6,4,452.24,0
3,89,10930.26,3
197,1,144.8,0
211,1,738.6,0
155,1,39.239999999999995,0
155,12,7092.06,0
29,2,372.21999999999997,0
239,2,377.2,0
18,1,97.5,0
0,3,1215.6200000000001,0
73,3,545.0,0
291,1,535.32,0
2,19,6854.51,0
30,3,409.5,0
22,2,503.76,0
22,4,414.76,0
3,5,902.22,0
77,2,200.72,0
21,7,1197.94,0
195,3,455.88,0
106,3,534.85,0
3,15,9797.92,3
317,1,120.94999999999999,0
105,3,149.05,0
11,22,5613.43,0
173,3,468.95,0
55,1,81.57,0
322,2,178.46999999999997,0
371,1,50.550000000000004,0
8,11,1311.6200000000001,0
0,15,4786.99,0
2,16,3365.43,0
52,5,3346.28,0
72,3,789.89,0
6,1,204.0,0
15,29,7272.75,0
3,12,2584.4,0
63,2,689.9,0
0,8,936.15,0
113,6,6912.0,0
22,3,659.68,0
30,3,1247.5,0
10,2,799.48,0
38,3,996.52,0
356,1,190.55,0
54,2,642.77,0
57,3,886.63,0
137,3,881.07,0
79,3,908.46,0
8,2,676.99,0
253,2,471.57,0
290,1,560.47,0
98,1,305.28000000000003,0
30,2,629.31,0
31,18,3079.1,0
13,5,1805.91,0
63,2,656.6800000000001,0
8,28,5684.61,0
211,1,348.15000000000003,0
63,4,1201.96,0
24,3,271.40000000000003,0
249,1,183.4,0
253,1,307.53,0
71,1,248.61,0
190,1,346.98,0
12,4,1119.49,0
372,1,205.86,0
23,3,430.9,0
81,1,115.46000000000001,0
9,2,344.0,0
0,27,3717.82,0
191,1,228.8,0
266,1,177.15,0
129,1,919.61,0
0,4,729.27,0
0,43,12432.28,3
3,5,220.10000000000002,0
178,1,58.08,0
0,21,27964.48,3
125,10,3595.48,0
3,2,303.75,0
157,3,272.38,0
2,118,57385.88,2
8,18,8689.39,3
20,2,319.82,0
70,6,459.83,0
266,13,7741.47,3
20,16,1708.8600000000001,0
70,1,74.39999999999999,0
32,14,5893.32,0
0,41,28658.88,3
98,1,207.35999999999999,0
233,1,101.19,0
0,27,6336.29,0
39,1,243.94,0
2,6,1098.48,0
128,2,59.5,0
43,5,1524.07,0
372,1,350.06,0
2,5,766.84,0
30,8,1452.8700000000001,0
0,40,10510.0,3
8,14,2205.63,0
116,2,485.19,0
21,8,984.91,0
19,7,1125.0,0
238,1,30.599999999999998,0
268,2,254.73,0
93,2,922.39,0
89,3,3866.33,0
4,10,2056.29,0
77,1,259.17,0
93,1,64.0,0
22,4,1039.3,0
261,1,77.3,0
273,2,109.8,0
72,7,1740.63,0
196,1,3096.0,0
49,11,2545.38,0
10,9,3605.08,0
21,6,962.39,0
15,8,5055.79,0
107,3,423.72,0
84,6,2385.8,0
18,1,307.09,0
332,1,110.95,0
39,5,614.77,0
25,1,228.91,0
9,4,712.8000000000001,0
28,17,3348.48,0
13,4,1676.06,0
202,2,1250.3700000000001,0
5,1,486.22,0
143,1,-611.86,0
32,4,971.76,0
48,5,1721.57,0
94,4,1201.06,0
8,5,1379.75,0
21,1,91.8,0
312,1,112.75,0
121,5,1644.99,0
45,2,1021.48,0
281,2,414.7,0
18,4,791.33,0
35,5,1310.14,0
63,2,712.88,0
26,1,116.00999999999999,0
7,5,426.81,0
3,2,353.65,0
15,3,2817.03,0
45,1,492.84,0
64,1,282.45,0
25,11,5725.47,0
44,1,121.18,0
7,9,3957.78,0
14,12,1648.79,0
267,1,71.4,0
39,5,1539.69,0
336,1,236.02,0
10,1,114.60000000000001,0
18,2,260.68,0
94,2,911.94,0
60,1,117.88,0
135,1,60.7,0
